=================================================================
           NETWORK PERFORMANCE SUMMARY REPORT
           Generated on: 2026-09-21 12:03:08
=================================================================

[1. HOST AGGREGATED METRICS]
--------------------------------------------------------------------------------
Target Host          | Sent   | Recv   | Loss %   | Min (ms)  | Max (ms)  | Avg (ms) 
172.16.32.133        | 23     | 23     | 0.0%     | 1.02      | 5.42      | 1.73     
172.16.32.134        | 23     | 23     | 0.0%     | 1.02      | 3.3       | 1.65     
172.16.32.135        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.136        | 23     | 23     | 0.0%     | 1.07      | 2.23      | 1.42     
172.16.32.137        | 23     | 23     | 0.0%     | 1.04      | 2.16      | 1.44     
172.16.32.138        | 23     | 23     | 0.0%     | 1.0       | 2.38      | 1.51     
172.16.32.139        | 23     | 23     | 0.0%     | 1.09      | 2.39      | 1.56     
172.16.32.140        | 23     | 23     | 0.0%     | 0.91      | 3.47      | 1.51     
172.16.32.141        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.142        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.143        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.144        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.145        | 23     | 23     | 0.0%     | 1.05      | 2.53      | 1.33     
172.16.32.146        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.147        | 23     | 23     | 0.0%     | 1.04      | 3.89      | 1.54     
172.16.32.148        | 23     | 23     | 0.0%     | 1.05      | 3.1       | 1.59     
172.16.32.149        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.150        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.151        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.152        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.153        | 23     | 23     | 0.0%     | 1.02      | 3.5       | 1.54     
172.16.32.154        | 23     | 23     | 0.0%     | 0.89      | 2.83      | 1.51     
172.16.32.155        | 23     | 23     | 0.0%     | 1.1       | 3.79      | 1.57     
172.16.32.156        | 23     | 23     | 0.0%     | 1.02      | 2.24      | 1.44     
172.16.32.157        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.158        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.159        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.160        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.161        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.162        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.163        | 12     | 0      | 100.0%   | -         | -         | -        
172.16.32.164        | 23     | 23     | 0.0%     | 0.93      | 4.8       | 1.55     
--------------------------------------------------------------------------------

[2. HOSTS DOWN AT TIME OF EXPORT]
---------------------------------------------
- 172.16.32.3 (last failed at 2026-09-21 12:02:54)
- 172.16.32.4 (last failed at 2026-09-21 12:02:54)
- 172.16.32.9 (last failed at 2026-09-21 12:02:54)
- 172.16.32.10 (last failed at 2026-09-21 12:02:54)
- 172.16.32.11 (last failed at 2026-09-21 12:02:54)
- 172.16.32.12 (last failed at 2026-09-21 12:02:54)
- 172.16.32.21 (last failed at 2026-09-21 12:02:54)
- 172.16.32.22 (last failed at 2026-09-21 12:02:54)
- 172.16.32.23 (last failed at 2026-09-21 12:02:54)
- 172.16.32.24 (last failed at 2026-09-21 12:02:54)
